OI,CHNG_IN_OI,VOLUME,IV,LTP,CHNG,BID_QTY,BID,ASK,ASK_QTY,STRIKE,TYPE,MID_PRICE,PRICE,SPOT,MONEYNESS,T,BS_PRICE,PRICE_DIFF,%_DIFF
17410.0,1979.0,24925.0,9.8,55.45,-6.85,300.0,55.4,56.1,300.0,25100.0,CALL,55.75,55.45,24631.3,1.0190286342986363,0.03285420944558522,42.50827237286558,-12.941727627134426,-23.339454692758206
2725.0,234.0,4936.0,9.87,47.25,-4.85,75.0,46.5,47.0,150.0,25150.0,CALL,46.75,47.25,24631.3,1.0210585718171594,0.03285420944558522,35.17501835333178,-12.07498164666822,-25.555516712525332
39470.0,427.0,28801.0,9.9,39.15,-4.35,1050.0,39.3,39.4,975.0,25200.0,CALL,39.349999999999994,39.15,24631.3,1.0230885093356827,0.03285420944558522,28.593814957900122,-10.556185042099877,-26.963435612004794
3171.0,722.0,4993.0,10.01,33.45,-2.45,450.0,33.0,34.0,375.0,25250.0,CALL,33.5,33.45,24631.3,1.0251184468542058,0.03285420944558522,23.758639165093882,-9.69136083490612,-28.972678131258956
21019.0,259.0,27773.0,10.1,27.55,-2.85,150.0,28.0,28.45,75.0,25300.0,CALL,28.225,27.55,24631.3,1.027148384372729,0.03285420944558522,19.548995518341144,-8.001004481658857,-29.04175855411563
2740.0,181.0,3303.0,10.26,24.25,-1.2,75.0,23.8,24.5,225.0,25350.0,CALL,24.15,24.25,24631.3,1.0291783218912522,0.03285420944558522,16.499320813341683,-7.750679186658317,-31.961563656322955
14772.0,-12207.0,35816.0,10.31,20.7,-0.15,75.0,20.05,20.55,300.0,25400.0,CALL,20.3,20.7,24631.3,1.0312082594097753,0.03285420944558522,13.292971493990308,-7.407028506009691,-35.78274640584392
1159.0,-53.0,1659.0,10.46,17.25,-0.95,675.0,17.1,17.25,150.0,25450.0,CALL,17.175,17.25,24631.3,1.0332381969282987,0.03285420944558522,11.158790340912219,-6.091209659087781,-35.31136034253786
63788.0,2121.0,40283.0,10.64,14.85,-1.05,75.0,14.95,15.0,2925.0,25500.0,CALL,14.975,14.85,24631.3,1.0352681344468218,0.03285420944558522,9.507060691497145,-5.342939308502855,-35.97938928284751
1326.0,-56.0,2113.0,10.74,12.6,-0.55,300.0,12.6,12.85,825.0,25550.0,CALL,12.725,12.6,24631.3,1.0372980719653448,0.03285420944558522,7.8007607919169,-4.799239208083099,-38.08920006415158
9483.0,-930.0,9256.0,10.92,10.65,-1.1,75.0,10.8,11.1,75.0,25600.0,CALL,10.95,10.65,24631.3,1.0393280094838682,0.03285420944558522,6.6631928122136515,-3.986807187786349,-37.43480927498919
3732.0,1021.0,2555.0,10.99,9.1,-0.85,75.0,9.15,9.3,750.0,25650.0,CALL,9.225000000000001,9.1,24631.3,1.0413579470023913,0.03285420944558522,5.3761129498972196,-3.72388705010278,-40.92183571541517
8503.0,-833.0,9375.0,11.22,8.05,-0.95,450.0,8.05,8.25,150.0,25700.0,CALL,8.15,8.05,24631.3,1.0433878845209146,0.03285420944558522,4.734358517762075,-3.3156414822379254,-41.18809294705497
1141.0,84.0,2899.0,11.47,7.4,-0.75,75.0,7.2,7.4,300.0,25750.0,CALL,7.300000000000001,7.4,24631.3,1.0454178220394377,0.03285420944558522,4.231503896251752,-3.1684961037482484,-42.81751491551687
11902.0,672.0,16151.0,11.62,6.4,-1.15,225.0,6.4,6.55,225.0,25800.0,CALL,6.475,6.4,24631.3,1.0474477595579608,0.03285420944558522,3.5850287546992377,-2.8149712453007627,-43.98392570782442
664.0,-30.0,205.0,11.88,5.9,-1.1,75.0,5.75,5.85,450.0,25850.0,CALL,5.8,5.9,24631.3,1.049477697076484,0.03285420944558522,3.2455253527656396,-2.6544746472343608,-44.99109571583662
5831.0,-302.0,6433.0,11.99,4.85,-1.55,375.0,4.9,5.05,750.0,25900.0,CALL,4.975,4.85,24631.3,1.0515076345950072,0.03285420944558522,2.697130838059593,-2.152869161940407,-44.38905488536922
455.0,-142.0,572.0,12.28,4.7,-1.15,600.0,4.3,4.7,300.0,25950.0,CALL,4.5,4.7,24631.3,1.0535375721135303,0.03285420944558522,2.503658155392145,-2.196341844607855,-46.73067754484798
54803.0,-13919.0,48950.0,12.49,4.25,-1.45,9375.0,4.25,4.3,3075.0,26000.0,CALL,4.275,4.25,24631.3,1.0555675096320536,0.03285420944558522,2.2218102588354895,-2.0281897411645105,-47.72211155681201
676.0,79.0,583.0,12.68,3.8,-1.4,15825.0,3.8,4.0,300.0,26050.0,CALL,3.9,3.8,24631.3,1.0575974471505767,0.03285420944558522,1.95309732707247,-1.8469026729275297,-48.602701919145524
3059.0,-1086.0,3671.0,13.03,3.7,-1.15,900.0,3.65,3.7,1800.0,26100.0,CALL,3.675,3.7,24631.3,1.0596273846691,0.03285420944558522,1.9011366782016523,-1.7988633217983478,-48.61792761617156
202.0,-35.0,112.0,13.49,3.85,-0.3,300.0,3.15,3.6,300.0,26150.0,CALL,3.375,3.85,24631.3,1.061657322187623,0.03285420944558522,1.9806326218972572,-1.869367378102743,-48.55499683383748
4134.0,-1066.0,3717.0,13.38,2.9,-1.05,450.0,2.95,3.0,1125.0,26200.0,CALL,2.975,2.9,24631.3,1.0636872597061462,0.03285420944558522,1.4639218627929722,-1.4360781372070277,-49.51993576575958
343.0,-7.0,57.0,13.84,3.1,-0.55,300.0,2.7,3.0,225.0,26250.0,CALL,2.85,3.1,24631.3,1.0657171972246695,0.03285420944558522,1.5400786852592319,-1.5599213147407682,-50.32004241099253
2319.0,-2105.0,5092.0,13.89,2.6,-0.9,75.0,2.6,2.65,225.0,26300.0,CALL,2.625,2.6,24631.3,1.0677471347431926,0.03285420944558522,1.2598296188508584,-1.3401703811491417,-51.545014659582364
218.0,10.0,11.0,14.15,2.45,-1.0,75.0,2.45,2.95,300.0,26350.0,CALL,2.7,2.45,24631.3,1.069777072261716,0.03285420944558522,1.1772756551731618,-1.2727243448268384,-51.94793244191177
1520.0,-733.0,2861.0,14.43,2.35,-0.9,300.0,2.1,2.35,300.0,26400.0,CALL,2.225,2.35,24631.3,1.071807009780239,0.03285420944558522,1.1169476079407161,-1.233052392059284,-52.47031455571422
46.0,,60.0,14.83,2.4,-1.1,300.0,1.9,2.95,300.0,26450.0,CALL,2.425,2.4,24631.3,1.0738369472987621,0.03285420944558522,1.1438656559580238,-1.256134344041976,-52.33893100174901
16846.0,1277.0,8843.0,14.71,1.9,-1.05,7050.0,1.85,1.9,525.0,26500.0,CALL,1.875,1.9,24631.3,1.0758668848172854,0.03285420944558522,0.8478027436743076,-1.0521972563256923,-55.37880296451012
